name,weight_class,height_in,reach_in,stance,wins,losses,ko_wins,sub_wins,dec_wins,ko_losses,sub_losses,dec_losses,strike_accuracy_pct,td_accuracy_pct,td_defense_pct,last_fight_date,first_round_finish_pct,age,last_fight_result,last_fight_method,missed_weight_count,slpm,sapm,control_time_pct,last_fight_opponent,country,short_notice,combat_edge_checked,wikipedia_checked,td_per_15,slpm_r,sapm_r,td_per_15_r,draws,knockdowns_per_fight,td_accuracy_pct_r,espn_fights,sig_strikes_att_per_fight,td_att_per_fight,strike_accuracy_pct_r,knockdowns_absorbed_per_fight,sig_strikes_absorbed_per_fight,td_att_faced_per_fight,sig_strikes_landed_per_min,td_landed_per_15,sig_strikes_absorbed_per_min,fight_minutes_total,absorbed_leg_share,absorbed_body_share,strikes_ground_share,absorbed_head_share,strikes_head_share,strikes_body_share,strikes_distance_share,absorbed_ground_share,strikes_clinch_share,strikes_leg_share,absorbed_distance_share,absorbed_clinch_share
David Martinez,Bantamweight,66.0,67.0,Orthodox,14,1,10.0,0.0,4.0,0.0,0.0,1.0,46.7,25.0,100.0,2026-02-28,0.25,26.0,W,DEC,0.0,,,,Marlon Vera,Mexico,0.0,False,False,0.866,4.602,2.858,0.995,,0.25,29.4,4.0,128.0,2.0,46.0,0.0,36.0,2.0,4.815,0.604,2.901,49.6,5.6,19.4,4.6,75.0,60.3,13.4,92.1,0.0,3.3,26.4,97.9,2.1
Ian Machado Garry,Welterweight,73.0,77.0,Southpaw,17,1,7.0,1.0,9.0,0.0,0.0,1.0,54.1,31.2,80.0,2025-11-22,0.1,28.0,W,DEC,0.0,,,,Belal Muhammad,Ireland,0.0,False,False,0.924,4.299,2.649,1.041,,0.364,26.3,11.0,130.27,2.91,52.8,0.091,42.18,2.73,4.775,0.924,2.859,162.3,26.3,20.7,4.3,53.0,56.4,19.1,90.8,5.8,4.9,24.5,86.9,7.3
Mackenzie Dern,Strawweight,63.0,66.0,Orthodox,16,5,0.0,8.0,8.0,1.0,0.0,4.0,41.6,18.4,37.9,2025-10-25,0.15,33.0,W,DEC,0.0,,,,Virna Jandiroba,USA,0.0,False,False,0.926,3.592,4.042,1.218,,0.105,24.1,19.0,99.42,4.0,45.5,0.316,46.95,1.53,3.024,0.808,3.432,259.9,21.2,25.3,17.0,53.5,75.4,14.0,72.9,4.4,10.1,10.6,81.2,14.5
Gillian Robertson,Strawweight,65.0,65.0,Orthodox,17,8,3.0,9.0,5.0,1.0,1.0,6.0,48.5,40.9,38.9,2026-03-14,0.25,29.0,W,DEC,0.0,,,,Amanda Lemos,Canada,0.0,False,False,2.76,3.39,2.668,3.094,,0.0,39.7,21.0,55.0,4.43,49.2,0.0,28.1,0.86,2.657,2.704,2.799,210.8,8.1,15.3,46.2,76.6,67.3,16.1,50.2,21.7,3.6,16.6,69.0,9.3
Farid Basharat,Bantamweight,68.0,70.0,Orthodox,16,0,1.0,6.0,9.0,0.0,0.0,0.0,54.1,37.7,54.5,2026-07-11,0.25,26.0,W,DEC,0.0,,,,John Garza,UK,0.0,False,False,3.66,3.833,3.33,2.95,,0.0,32.3,8.0,112.62,8.62,53.3,0.0,44.25,2.75,4.458,3.57,3.24,109.2,16.4,25.7,20.3,57.9,65.9,15.6,73.9,6.5,5.7,18.5,81.1,12.4
Alessandro Costa,Flyweight,65.0,67.0,Orthodox,17,5,7.0,7.0,3.0,3.0,0.0,2.0,46.5,26.7,87.1,2026-07-11,0.3,29.0,W,SUB,0.0,,,,Cody Durden,Brazil,0.0,False,False,0.853,3.326,3.751,0.814,,0.556,34.9,9.0,77.0,1.67,47.4,0.222,35.22,3.44,3.773,0.703,3.714,85.3,14.5,24.0,14.3,61.5,59.0,19.9,78.3,10.1,7.5,21.1,81.4,8.5
Cody Durden,Flyweight,64.0,68.0,Orthodox,18,11,6.0,6.0,6.0,2.0,6.0,3.0,44.4,48.3,56.5,2026-07-11,0.15,31.0,L,SUB,0.0,,,,Alessandro Costa,USA,0.0,False,False,3.817,3.226,4.573,3.311,,0.059,49.6,17.0,73.06,5.24,41.9,0.235,38.71,1.35,3.267,3.817,3.894,169.0,17.3,18.2,10.5,64.4,73.4,12.5,85.7,8.8,3.8,14.1,83.0,8.2
Tracy Cortez,Flyweight,66.0,66.5,Orthodox,12,4,1.0,1.0,10.0,0.0,2.0,2.0,48.5,40.4,59.4,2026-07-11,0.1,34.0,L,DEC,0.0,,,,Cong Wang,USA,0.0,False,False,1.825,3.956,3.439,1.784,,0.0,29.3,13.0,96.85,4.0,46.3,0.154,42.92,2.46,3.175,1.637,2.9,192.4,16.8,19.4,25.2,63.8,63.2,22.6,65.3,2.9,9.5,14.2,88.0,9.1
Cong Wang,Flyweight,65.0,65.5,Orthodox,10,1,2.0,2.0,6.0,0.0,1.0,0.0,57.9,,85.7,2026-07-11,0.2,34.0,W,DEC,1.0,,,,Tracy Cortez,China,0.0,False,False,,,,,,0.5,,6.0,137.67,0.5,59.3,0.167,32.83,4.67,6.843,0.429,2.82,69.8,18.3,23.4,3.1,58.4,47.1,23.8,90.8,0.0,6.1,29.1,91.9,8.1
John Garza,Bantamweight,67.0,69.0,Orthodox,9,4,4.0,3.0,2.0,1.0,1.0,2.0,43.9,,77.3,2026-07-11,0.25,28.0,L,DEC,0.0,,,,Farid Basharat,USA,0.0,False,False,0.0,,,,,0.0,,1.0,187.0,0.0,43.9,0.0,86.0,22.0,,,,15.0,17.4,7.0,0.0,75.6,67.1,32.9,80.5,15.1,19.5,0.0,79.1,5.8
