name,espn_id
denis stojnic,2335741
denis tiuliulin,4969973
denise gomes,4963343
dennis bermudez,2527805
dennis buzukja,4686735
dennis hallman,2488860
dennis siver,2335797
denys bondar,4713086
denzel freeman,4848646
dequan townsend,4029284
derek brunson,2560056
derek downey,2335747
deron winn,4400662
derrick krantz,2555489
derrick lewis,2560713
derrick noble,2354055
desmond green,3039667
devin clark,3971496
devin powell,4021523
devonte smith,4354425
dhiego lima,2591297
diana belbita,3977987
diego brandao,2556056
diego ferreira,3026133
diego henrique da silva,3054275
diego lopes,4881999
diego nunes,2504555
diego rivas,3155410
diego sanchez,2335671
diego saraiva,2354337
dieusel berto,2504611
dileno lopes,3093507
din thomas,2335704
ding meng,4813565
dione barbosa,4801725
diyar nurgozhay,5213352
djorden santos,5211247
dmitri stepanov,2951459
dmitrii smoliakov,3997030
dmitry sosnovskiy,4077001
dokonjonosuke mishima,2354126
dom mar fan,5157806
domingo pilarte,3041157
dominic waters,3001934
dominick cruz,2335888
dominick reyes,4233039
dominique steele,2585966
don frye,2354083
don madge,4331588
don shainis,4893607
don'tale mayes,4249193
donald cerrone,2479918
donavon frelow,3164449
dong hyun kim,2335818
dong hyun ma,3953367
donghun choi,5207629
dongi yang,2505261
donnie chappell,2951170
donny walker,2555198
donte johnson,5302831
dooho choi,3093026
dorian price,2556797
douglas evans,2354435
douglas silva de andrade,3090893
drakkar klose,4079621
drako rodriguez,4412279
drew dober,2951202
drew fickett,2354221
drew mcfedries,2335474
dricus du plessis,3166126
duane ludwig,2354121
duda santana,4420422
dusko todorovic,4421517
dustin hazelett,2335798
dustin jacoby,2594871
dustin kimura,3020302
dustin neace,2354101
dustin ortiz,2512958
dustin pague,2499693
dustin poirier,2506549
dustin stoltzfus,4685871
dwayne cason,2951167
dwight grant,4339149
dylan andrews,2554630
dylan budka,5032015
ebenezer fontes braga,2487845
ed herman,2335754
eddie alvarez,2431333
eddie gordon,3112018
eddie mendez,2612668
eddie ruiz,2557319
eddie sanchez,2354240
eddie wineland,2504561
eddie yagin,2502027
edgar chairez,5076027
edgar garcia,2555778
edilberto de oliveira,2553272
edimilson souza,3001297
edmen shahbazyan,4354318
ednaldo oliveira,2611339
edson barboza,2526299
eduarda moura,5143888
eduardo garagorri,4565792
edward faaloloto,2528638
edwin dewees,2431251
edwin figueroa,2555761
efrain escudero,2335688
eiji mitsuoka,2488370
eldo xavier dias,2951199
elias garcia,3111338
elias silverio,3053487
elias theodorou,3096578
elijah smith,5144797
eliot marshall,2335644
elise reed,4836482
elisha ellison,5293987
elizabeth phillips,3034801
elizeu zaleski dos santos,3039886
elves brener,5110006
elvis mutapcic,2965188
elvis sinosic,2354075
emil meek,4001846
emily ducote,4034272
emily kagan,3032971
emily whitmire,4034282
emmanuel yarborough,2951123
enrique barzola,3901014
enrique marin,3951294
enson inoue,2473330
eric martin,2951316
eric mcconico,2478987
eric nolan,5290958
eric schafer,2335650
eric shelton,3122041
eric spicely,3947030
eric wisely,2499534
erick gonzalez,4335947
erick montano,3039211
erick silva,2559966
ericka almeida,3895652
erik koch,2504556
erik perez,2960677
erik silva,5075335
erin blanchfield,4350796
ernest chavez,3091107
ernesta kareckaite,5149147
ernie juarez,5212749
ernie verdicia,2951495
eryk anders,4082125
esteban ribovics,5074131
estefani almeida,4039957
estevan payan,2614927
ethyn ewing,4917037
eugene jackson,2488568
eugenio tadeu,2501401
evan dunham,2335772
evan elder,5037883
